gene_id		SH200_E7_Z11_ST23	SH201_E7-Q	SH202_E7-R	SH203_E7-S	SH204_E7-T	SH205_E7-V	SH206_E7-X	SH221	SH222	SH223	SH230
tr205392		0	0	0	0	0	0	0	1	1	7	2
tr205394		0	0	0	0	0	0	0	7	4	21	13
tr205400		13	11	1	8	5	11	7	293	719	335	283
tr205402		0	0	0	0	0	0	0	8	23	22	13
tr205409		0	0	0	4	0	4	0	44	79	59	20
tr205419		0	0	0	2	1	0	0	78	119	115	54
tr205423		4	1	0	1	0	8	1	223	90	77	13
tr205426		0	0	0	0	0	0	0	0	0	2	5
tr205427		0	0	0	3	0	0	0	77	118	159	39
tr205433		0	0	0	0	0	0	0	0	4	0	0
tr20544		9	1	2	4	0	57	13	264	41	282	5
tr205440		176	22	19	62	133	65	6	1035	1540	751	433
tr205442		5	1	1	5	1	4	0	108	325	211	110
tr205445		2	4	0	0	0	2	0	7	16	10	5
tr205447		0	0	0	0	0	0	0	4	7	11	1
tr205448		0	0	0	0	0	0	0	33	67	56	32
tr20545		0	0	0	0	0	1	0	5	0	1	6
tr205454		0	0	0	0	0	0	0	1	11	20	8
tr205457		0	0	0	0	0	0	0	4	12	14	0
tr205463		0	0	0	0	0	0	0	28	27	15	9
tr205470		0	0	0	0	0	0	0	6	7	30	2
tr205471		0	0	0	0	0	0	0	14	30	23	1
tr205473		0	0	0	0	0	0	0	0	1	1	2
tr205477		11	5	7	5	10	27	8	74	189	127	45
tr205486		0	0	0	0	0	0	0	0	0	0	19
tr205493		0	0	1	0	0	0	0	21	19	14	7
tr205494		0	3	0	2	1	2	0	59	92	144	55
tr205496		0	0	0	0	0	0	0	18	23	29	8
tr205497		11	2	16	6	15	35	8	924	115	473	68
tr205498		0	0	0	0	0	0	0	15	33	43	20
tr205501		0	0	0	0	0	0	0	2	7	8	9
tr205504		0	0	0	1	0	0	0	19	36	27	24
tr205511		0	0	0	0	0	0	0	0	7	6	0
tr205516		0	0	0	0	0	0	0	14	15	23	10
tr205519		0	0	0	0	0	0	0	5	7	5	5
tr205528		0	0	0	0	0	0	0	1	8	5	0
tr205529		0	0	0	0	0	0	0	6	10	19	8
tr20553		2	2	13	3	1	91	2	504	21	255	19
tr205530		0	0	0	0	0	0	0	7	17	30	8
tr205535		0	0	0	1	0	0	0	20	23	41	9
tr205537		1	0	0	0	0	1	0	20	44	20	16
